dec,fil,ra,Object
-34.270179999999996,g,339.46621666666664,S230922g 86
-32.558659999999996,g,340.22667083333334,S230922g 86
-30.604580000000002,g,342.8642708333333,S230922g 86
-30.842119999999998,g,341.0114416666666,S230922g 86
-31.51945,g,333.48232499999995,S230922g 86
-32.75529,g,338.3330083333333,S230922g 86
-32.922309999999996,g,336.42437916666665,S230922g 86
-31.39226,g,335.3839791666667,S230922g 86
-29.1286,g,341.83257083333336,S230922g 86
-29.34986,g,339.9874333333333,S230922g 86
-31.05309,g,339.148575,S230922g 86
-29.71671,g,336.2752791666666,S230922g 86
-29.86129,g,334.4043166666666,S230922g 86
-28.88279,g,343.67368333333326,S230922g 86
-30.894,g,336.3182416666666,S230922g 86
-27.18004,g,344.54054999999994,S230922g 86
-29.546560000000003,g,338.13534166666665,S230922g 86
-29.978289999999998,g,332.522475,S230922g 86
-27.859630000000003,g,339.0201916666667,S230922g 86
-27.42709,g,342.69709583333326,S230922g 86
-27.65362,g,340.8586333333333,S230922g 86
-27.701,g,337.0459958333333,S230922g 86
-25.97339,g,341.7681458333333,S230922g 86
-28.19901,g,335.33147916666667,S230922g 86
-28.33239,g,333.47624999999994,S230922g 86
-28.43921,g,331.61218333333335,S230922g 86
-26.182660000000002,g,339.93334583333325,S230922g 86
-26.37142,g,338.1015583333333,S230922g 86
-23.87256,g,346.44149999999996,S230922g 86
-26.80556,g,332.59270416666664,S230922g 86
-26.68437,g,334.43422499999997,S230922g 86
-24.0981,g,344.56824166666655,S230922g 86
-26.53866,g,336.26884583333333,S230922g 86
-24.31613,g,342.71500416666663,S230922g 86
-24.88522,g,337.22044583333326,S230922g 86
-24.71269,g,339.0456,S230922g 86
-24.52166,g,340.8747749999999,S230922g 86
-32.558659999999996,i,340.22667083333334,S230922g
-34.270179999999996,i,339.46621666666664,S230922g
-30.604580000000002,i,342.8642708333333,S230922g
-32.75529,i,338.3330083333333,S230922g
-32.922309999999996,i,336.42437916666665,S230922g
-30.842119999999998,i,341.0114416666666,S230922g
-31.05309,i,339.148575,S230922g
-28.88279,i,343.67368333333326,S230922g
-31.39226,i,335.3839791666667,S230922g
-30.894,i,336.3182416666666,S230922g
-31.51945,i,333.48232499999995,S230922g
-29.546560000000003,i,338.13534166666665,S230922g
-29.34986,i,339.9874333333333,S230922g
-29.1286,i,341.83257083333336,S230922g
-29.86129,i,334.4043166666666,S230922g
-29.71671,i,336.2752791666666,S230922g
-29.978289999999998,i,332.522475,S230922g
-27.859630000000003,i,339.0201916666667,S230922g
-27.18004,i,344.54054999999994,S230922g
-27.42709,i,342.69709583333326,S230922g
-28.19901,i,335.33147916666667,S230922g
-28.43921,i,331.61218333333335,S230922g
-27.701,i,337.0459958333333,S230922g
-27.65362,i,340.8586333333333,S230922g
-26.182660000000002,i,339.93334583333325,S230922g
-26.68437,i,334.43422499999997,S230922g
-26.53866,i,336.26884583333333,S230922g
-25.97339,i,341.7681458333333,S230922g
-26.37142,i,338.1015583333333,S230922g
-28.33239,i,333.47624999999994,S230922g
-26.80556,i,332.59270416666664,S230922g
-23.87256,i,346.44149999999996,S230922g
-24.31613,i,342.71500416666663,S230922g
-24.52166,i,340.8747749999999,S230922g
-24.71269,i,339.0456,S230922g
-24.88522,i,337.22044583333326,S230922g
-24.0981,i,344.56824166666655,S230922g
-28.439027777777778,g,331.61220833333334,S230922g 86
-25.973305555555555,g,341.76954166666667,S230922g 86
-28.332333333333334,g,333.47649999999993,S230922g 86
-31.05263888888889,g,339.146625,S230922g 86
-31.51877777777778,g,333.48162499999995,S230922g 86
-24.88513888888889,g,337.2205416666666,S230922g 86
-24.71372222222222,g,339.0461666666667,S230922g 86
-24.09883333333333,g,344.5698749999999,S230922g 86
-26.80611111111111,g,332.59412499999996,S230922g 86
-24.522805555555554,g,340.8748333333333,S230922g 86
-26.182694444444447,g,339.9344166666666,S230922g 86
-26.37247222222222,g,338.10279166666663,S230922g 86
-26.68513888888889,g,334.4353333333333,S230922g 86
-27.701027777777778,g,337.04599999999994,S230922g 86
-27.859250000000003,g,339.02054166666665,S230922g 86
-29.97769444444444,g,332.5226666666666,S230922g 86
-27.179166666666667,g,344.5404166666666,S230922g 86
-29.86116666666667,g,334.40429166666667,S230922g 86
-29.716444444444445,g,336.2754166666667,S230922g 86
-29.349055555555555,g,339.98704166666664,S230922g 86
-29.54652777777778,g,338.13504166666667,S230922g 86
-28.880972222222223,g,343.6734583333333,S230922g 86
-30.892777777777777,g,336.3174583333333,S230922g 86
-30.84188888888889,g,341.009375,S230922g 86
-30.60375,g,342.862875,S230922g 86
-31.391555555555556,g,335.38325,S230922g 86
-32.55913888888889,g,340.223875,S230922g 86
-32.7555,g,338.33124999999995,S230922g 86
-34.27147222222222,g,339.4647083333333,S230922g 86
-24.31652777777778,g,342.7161249999999,S230922g 86
-26.538333333333334,g,336.27012499999995,S230922g 86
-23.87236111111111,g,346.44333333333327,S230922g 86
-28.198055555555555,g,335.3315833333333,S230922g 86
-27.426222222222222,g,342.6967499999999,S230922g 86
-27.653138888888886,g,340.85849999999994,S230922g 86
-29.127222222222223,g,341.83225,S230922g 86
-32.922444444444444,g,336.42270833333333,S230922g 86
-24.712055555555555,i,339.04741666666666,S230922g
-24.31475,i,342.71737499999995,S230922g
-24.521472222222222,i,340.8775416666666,S230922g
-24.096833333333333,i,344.57112499999994,S230922g
-28.332805555555556,i,333.47799999999995,S230922g
-27.86077777777778,i,339.0213333333333,S230922g
-27.65475,i,340.8608333333333,S230922g
-27.428944444444447,i,342.69933333333324,S230922g
-29.979055555555554,i,332.5254166666667,S230922g
-29.716694444444443,i,336.27812499999993,S230922g
-29.546805555555558,i,338.13787499999995,S230922g
-28.882333333333335,i,343.6771666666666,S230922g
-29.12775,i,341.83554166666664,S230922g
-29.349805555555555,i,339.9902916666666,S230922g
-31.05291666666667,i,339.1495,S230922g
-31.51861111111111,i,333.48391666666663,S230922g
-30.84188888888889,i,341.011875,S230922g
-31.391555555555556,i,335.3853333333333,S230922g
-30.604694444444444,i,342.86516666666665,S230922g
-32.92252777777777,i,336.42520833333333,S230922g
-32.558861111111106,i,340.2269166666666,S230922g
-32.75602777777778,i,338.33316666666667,S230922g
-28.44,i,331.61429166666665,S230922g
-27.702083333333334,i,337.0472916666666,S230922g
-28.200055555555554,i,335.33324999999996,S230922g
-29.861972222222224,i,334.40687499999996,S230922g
-30.8935,i,336.32062499999995,S230922g
-34.271027777777775,i,339.465375,S230922g
